CountryName,CountryCode,Date,School closing,Stay at home requirements,ConfirmedCases,ConfirmedDeaths,StringencyIndex
Dominica,DMA,4/16/2020,3,2,16,0,85.71
Dominica,DMA,4/17/2020,3,2,16,0,85.71
Dominica,DMA,4/18/2020,3,2,16,0,85.71
Dominica,DMA,4/19/2020,3,2,16,0,85.71
Dominica,DMA,4/20/2020,3,2,16,0,85.71
Dominica,DMA,4/21/2020,3,2,16,0,85.71
Dominica,DMA,4/22/2020,3,2,16,0,85.71
Dominica,DMA,4/23/2020,3,2,16,0,85.71
Dominica,DMA,4/24/2020,3,2,16,0,85.71
Dominica,DMA,4/25/2020,3,2,16,0,85.71
Dominica,DMA,4/26/2020,3,2,16,0,85.71
Dominica,DMA,4/27/2020,3,2,16,0,85.71
Dominica,DMA,4/28/2020,3,2,16,0,85.71
Dominica,DMA,4/29/2020,3,2,16,0,85.71
Dominica,DMA,4/30/2020,3,2,16,0,85.71
Dominica,DMA,5/1/2020,3,2,16,0,85.71
Dominica,DMA,5/2/2020,3,2,16,0,85.71
Dominica,DMA,5/3/2020,3,2,16,0,85.71
Dominica,DMA,5/4/2020,3,2,16,0,85.71
Dominica,DMA,5/5/2020,3,2,16,0,85.71
Dominica,DMA,5/6/2020,3,2,16,0,85.71
Dominica,DMA,5/7/2020,3,2,16,0,82.14
Dominica,DMA,5/8/2020,3,2,16,0,82.14
Dominica,DMA,5/9/2020,3,2,16,0,82.14
Dominica,DMA,5/10/2020,3,2,16,0,82.14
Dominica,DMA,5/11/2020,3,2,16,0,82.14
Dominican Republic,DOM,4/18/2020,3,2,4126,200,100
Dominican Republic,DOM,4/19/2020,3,2,4335,217,100
Dominican Republic,DOM,4/20/2020,3,2,4680,226,100
Dominican Republic,DOM,4/21/2020,3,2,4964,235,100
Dominican Republic,DOM,4/22/2020,3,2,5044,245,100
Dominican Republic,DOM,4/23/2020,3,2,5300,260,100
Dominican Republic,DOM,4/24/2020,3,2,5543,265,100
Dominican Republic,DOM,4/25/2020,3,2,5749,267,100
Dominican Republic,DOM,4/26/2020,3,2,5926,273,100
Dominican Republic,DOM,4/27/2020,3,2,6135,278,100
Dominican Republic,DOM,5/18/2020,3,2,12314,428,100
Dominican Republic,DOM,5/19/2020,3,2,12725,434,100
Dominican Republic,DOM,5/20/2020,3,2,13223,441,91.67
Algeria,DZA,4/24/2020,3,2,3007,407,88.1
Algeria,DZA,4/25/2020,3,2,3127,415,88.1
Algeria,DZA,4/26/2020,3,2,3256,419,88.1
Algeria,DZA,4/27/2020,3,2,3382,425,88.1
Algeria,DZA,4/28/2020,3,2,3517,432,88.1
Algeria,DZA,4/29/2020,3,2,3649,437,88.1
Algeria,DZA,4/30/2020,3,2,3848,444,88.1
Algeria,DZA,5/1/2020,3,2,4006,450,88.1
Algeria,DZA,5/2/2020,3,2,4154,453,88.1
Algeria,DZA,5/3/2020,3,2,4295,459,88.1
Algeria,DZA,5/4/2020,3,2,4474,463,88.1
Algeria,DZA,5/5/2020,3,2,4648,465,88.1
Algeria,DZA,5/6/2020,3,2,4838,470,88.1
Algeria,DZA,5/7/2020,3,2,4997,476,88.1
Algeria,DZA,5/8/2020,3,2,5182,483,88.1
Algeria,DZA,5/9/2020,3,2,5369,488,88.1
Algeria,DZA,5/10/2020,3,2,5558,494,88.1
Algeria,DZA,5/11/2020,3,2,5723,502,88.1
Algeria,DZA,5/12/2020,3,2,5891,507,88.1
Algeria,DZA,5/13/2020,3,2,6067,515,88.1
Algeria,DZA,5/14/2020,3,2,6253,522,88.1
Algeria,DZA,5/15/2020,3,2,6442,529,88.1
Algeria,DZA,5/16/2020,3,2,6629,536,88.1
Algeria,DZA,5/17/2020,3,2,6821,542,88.1
Algeria,DZA,5/18/2020,3,2,7019,548,88.1
Algeria,DZA,5/19/2020,3,2,7201,555,88.1
Algeria,DZA,5/20/2020,3,2,7377,561,88.1
Ecuador,ECU,3/17/2020,3,2,58,2,100
Ecuador,ECU,3/18/2020,3,2,111,2,100
Ecuador,ECU,3/19/2020,3,2,168,3,100
Ecuador,ECU,3/20/2020,3,2,199,3,100
Ecuador,ECU,3/21/2020,3,2,426,7,100
Ecuador,ECU,3/22/2020,3,2,532,7,100
Ecuador,ECU,3/23/2020,3,2,789,14,100
Ecuador,ECU,3/24/2020,3,2,981,18,100
Ecuador,ECU,3/25/2020,3,2,1082,27,100
Ecuador,ECU,3/26/2020,3,2,1211,29,100
Ecuador,ECU,3/27/2020,3,2,1403,34,100
Ecuador,ECU,3/28/2020,3,2,1627,41,100
Ecuador,ECU,3/29/2020,3,2,1835,48,100
Ecuador,ECU,3/30/2020,3,2,1890,58,100
Ecuador,ECU,3/31/2020,3,2,1966,62,100
Ecuador,ECU,4/1/2020,3,2,2302,79,100
Ecuador,ECU,4/2/2020,3,2,2758,120,100
Ecuador,ECU,4/3/2020,3,2,3163,120,100
Ecuador,ECU,4/4/2020,3,2,3368,145,100
Ecuador,ECU,4/5/2020,3,2,3465,172,100
Ecuador,ECU,4/6/2020,3,2,3646,180,100
Ecuador,ECU,4/7/2020,3,2,3747,191,100
Ecuador,ECU,4/8/2020,3,2,3995,220,100
Ecuador,ECU,4/9/2020,3,2,4450,242,100
Ecuador,ECU,4/10/2020,3,2,4965,272,100
Ecuador,ECU,4/11/2020,3,2,7161,297,100
Ecuador,ECU,4/12/2020,3,2,7257,315,100
Ecuador,ECU,4/13/2020,3,2,7466,333,100
Ecuador,ECU,4/14/2020,3,2,7529,355,100
Ecuador,ECU,4/15/2020,3,2,7603,355,100
Ecuador,ECU,4/16/2020,3,2,7858,388,100
Ecuador,ECU,4/17/2020,3,2,8225,403,100
Ecuador,ECU,4/18/2020,3,2,8450,421,100
Ecuador,ECU,4/19/2020,3,2,9022,456,100
Ecuador,ECU,4/20/2020,3,2,9468,474,100
Ecuador,ECU,4/21/2020,3,2,10128,507,100
Ecuador,ECU,4/22/2020,3,2,10398,520,100
Ecuador,ECU,4/23/2020,3,2,10850,537,100
Ecuador,ECU,4/24/2020,3,2,11183,560,100
Ecuador,ECU,4/25/2020,3,2,11183,576,100
Ecuador,ECU,4/26/2020,3,2,11183,576,100
Ecuador,ECU,4/27/2020,3,2,22719,576,100
Ecuador,ECU,4/28/2020,3,2,23240,663,100
Ecuador,ECU,4/29/2020,3,2,24258,871,100
Ecuador,ECU,4/30/2020,3,2,24675,883,100
Ecuador,ECU,5/1/2020,3,2,24934,900,100
Ecuador,ECU,5/2/2020,3,2,26336,1063,100
Ecuador,ECU,5/3/2020,3,2,27464,1371,100
Ecuador,ECU,5/4/2020,3,2,29538,1564,88.1
Ecuador,ECU,5/5/2020,3,2,31881,1569,88.1
Ecuador,ECU,5/6/2020,3,2,31881,1569,88.1
Ecuador,ECU,5/7/2020,3,2,29420,1618,88.1
Ecuador,ECU,5/8/2020,3,2,30298,1654,88.1
Ecuador,ECU,5/9/2020,3,2,28818,1704,88.1
Ecuador,ECU,5/10/2020,3,2,29071,1717,88.1
Ecuador,ECU,5/11/2020,3,2,29559,2127,88.1
Ecuador,ECU,5/12/2020,3,2,29509,2145,88.1
Ecuador,ECU,5/13/2020,3,2,30419,2327,88.1
Ecuador,ECU,5/14/2020,3,2,30486,2334,88.1
Ecuador,ECU,5/15/2020,3,2,30502,2338,88.1
Ecuador,ECU,5/16/2020,3,2,31467,2594,88.1
